DOI,ParsingDate,Accesses,Citations,Altmetric
10.1038/sdata20156,2024-08-24,5584,14,5
10.1038/sdata20155,2024-08-24,2776,3,19
10.1038/sdata20158,2024-08-24,39000,152,90
10.1038/sdata20159,2024-08-24,54000,732,56
10.1038/sdata201511,2024-08-24,18000,52,66
10.1038/sdata201513,2024-08-24,9369,45,2
10.1038/sdata20157,2024-08-24,40000,539,8
10.1038/sdata201510,2024-08-24,12000,38,19
10.1038/sdata201514,2024-08-24,6539,41,13
10.1038/sdata201516,2024-08-24,5641,31,24
10.1038/sdata201517,2024-08-24,12000,54,6
10.1038/sdata201515,2024-08-24,3523,21,1
10.1038/sdata201521,2024-08-24,10000,42,40
10.1038/sdata201518,2024-08-24,5974,13,14
10.1038/sdata201520,2024-08-24,5666,9,2
10.1038/sdata201527,2024-08-24,5476,4,9
10.1038/sdata201523,2024-08-24,29000,257,48
10.1038/sdata201519,2024-08-24,19000,92,28
10.1038/sdata201524,2024-08-24,3929,12,6
10.1038/sdata201525,2024-08-24,6104,6,9
10.1038/sdata201526,2024-08-24,109000,283,459
10.1038/sdata201528,2024-08-24,22000,235,3
10.1038/sdata201529,2024-08-24,9610,129,8
10.1038/sdata201522,2024-08-24,8582,20,1
10.1038/sdata201530,2024-08-24,10000,9,7
10.1038/sdata201533,2024-08-24,4877,30,1
10.1038/sdata201531,2024-08-24,21000,264,65
10.1038/sdata201535,2024-08-24,28000,244,99
10.1038/sdata201532,2024-08-24,3903,14,17
10.1038/sdata201536,2024-08-24,17000,56,62
10.1038/sdata201538,2024-08-24,7662,25,30
10.1038/sdata201540,2024-08-24,4144,4,5
10.1038/sdata201512,2024-08-24,9516,20,14
10.1038/sdata201541,2024-08-24,5589,11,28
10.1038/sdata201542,2024-08-24,18000,268,16
10.1038/sdata201544,2024-08-24,8671,14,6
10.1038/sdata201546,2024-08-24,7690,27,2
10.1038/sdata201545,2024-08-24,14000,145,30
10.1038/sdata201547,2024-08-24,8298,31,3
10.1038/sdata201548,2024-08-24,14000,23,71
10.1038/sdata201549,2024-08-24,39000,85,250
10.1038/sdata201552,2024-08-24,4005,22,13
10.1038/sdata201553,2024-08-24,32000,184,28
10.1038/sdata201551,2024-08-24,8036,24,3
10.1038/sdata201550,2024-08-24,8704,320,32
10.1038/sdata201543,2024-08-24,6394,23,15
10.1038/sdata201554,2024-08-24,6022,14,3
10.1038/sdata201555,2024-08-24,61000,266,72
10.1038/sdata201558,2024-08-24,7861,38,8
10.1038/sdata201557,2024-08-24,7856,39,18
10.1038/sdata201556,2024-08-24,5884,43,2
10.1038/sdata201559,2024-08-24,6006,67,78
10.1038/sdata201563,2024-08-24,6003,19,0
10.1038/sdata201561,2024-08-24,8118,75,30
10.1038/sdata201562,2024-08-24,1715,2,2
10.1038/sdata201569,2024-08-24,5331,11,1
10.1038/sdata201567,2024-08-24,4481,16,14
10.1038/sdata201565,2024-08-24,5624,5,43
10.1038/sdata201570,2024-08-24,3541,8,1
10.1038/sdata201564,2024-08-24,1699,1,0
10.1038/sdata201560,2024-08-24,7612,8,39
10.1038/sdata201574,2024-08-24,2504,11,2
10.1038/sdata201572,2024-08-24,7914,41,3
10.1038/sdata201568,2024-08-24,9861,39,35
10.1038/sdata201566,2024-08-24,129000,2802,140
10.1038/sdata201573,2024-08-24,19000,142,18
10.1038/sdata201576,2024-08-24,3111,5,3
10.1038/sdata201571,2024-08-24,4464,12,13
10.1038/sdata201575,2024-08-24,17000,35,126
10.1038/sdata201577,2024-08-24,8118,23,2
10.1038/sdata20162,2024-08-24,9336,32,7
10.1038/sdata201578,2024-08-24,3912,4,4
10.1038/sdata20161,2024-08-24,13000,39,69
10.1038/sdata20164,2024-08-24,4617,11,4
10.1038/sdata20163,2024-08-24,8338,16,28
10.1038/sdata20168,2024-08-24,3818,6,2
10.1038/sdata20169,2024-08-24,5358,51,5
10.1038/sdata201610,2024-08-24,19000,13,117
10.1038/sdata20167,2024-08-24,39000,55,51
10.1038/sdata20165,2024-08-24,15000,120,19
10.1038/sdata201613,2024-08-24,3300,10,2
10.1038/sdata201614,2024-08-24,7668,34,4
