DOI,ParsingDate,Accesses,Citations,Altmetric
10.1038/s41597-020-0439-1,2024-08-24,6618,22,13
10.1038/s41597-020-0443-5,2024-08-24,11000,49,11
10.1038/s41597-020-0449-z,2024-08-24,2855,11,2
10.1038/s41597-020-0437-3,2024-08-24,13000,46,30
10.1038/s41597-020-0442-6,2024-08-24,3860,11,13
10.1038/s41597-020-0446-2,2024-08-24,7551,56,21
10.1038/s41597-020-0452-4,2024-08-24,3590,18,1
10.1038/s41597-020-0434-6,2024-08-24,14000,71,4
10.1038/s41597-020-0451-5,2024-08-24,7408,36,15
10.1038/s41597-020-0453-3,2024-08-24,120000,2232,88
10.1038/s41597-020-0450-6,2024-08-24,5395,33,7
10.1038/s41597-020-0444-4,2024-08-24,39000,182,89
10.1038/s41597-020-0438-2,2024-08-24,12000,84,30
10.1038/s41597-020-0458-y,2024-08-24,8283,30,6
10.1038/s41597-020-0445-3,2024-08-24,42000,165,457
10.1038/s41597-020-0461-3,2024-08-24,7612,29,4
10.1038/s41597-020-0459-x,2024-08-24,7499,46,26
10.1038/s41597-020-0462-2,2024-08-24,22000,317,37
10.1038/s41597-020-0455-1,2024-08-24,14000,35,2
10.1038/s41597-020-0465-z,2024-08-24,6006,21,68
10.1038/s41597-020-0467-x,2024-08-24,8605,31,28
10.1038/s41597-020-0468-9,2024-08-24,6419,6,5
10.1038/s41597-020-0464-0,2024-08-24,5121,20,6
10.1038/s41597-020-0466-y,2024-08-24,2568,16,1
10.1038/s41597-020-0463-1,2024-08-24,1767,0,4
10.1038/s41597-020-0469-8,2024-08-24,28000,77,200
10.1038/s41597-020-0470-2,2024-08-24,4559,19,1
10.1038/s41597-020-0472-0,2024-08-24,4011,11,37
10.1038/s41597-020-0456-0,2024-08-24,2736,6,3
10.1038/s41597-020-0473-z,2024-08-24,17000,124,17
10.1038/s41597-020-0475-x,2024-08-24,3857,4,2
10.1038/s41597-020-0480-0,2024-08-24,4904,33,2
10.1038/s41597-020-0476-9,2024-08-24,6493,17,6
10.1038/s41597-020-0460-4,2024-08-24,18000,80,9
10.1038/s41597-020-0482-y,2024-08-24,4853,5,5
10.1038/s41597-020-0485-8,2024-08-24,3289,6,35
10.1038/s41597-020-0484-9,2024-08-24,3594,19,2
10.1038/s41597-020-0481-z,2024-08-24,13000,29,204
10.1038/s41597-020-0492-9,2024-08-24,7653,28,7
10.1038/s41597-020-0487-6,2024-08-24,3801,24,9
10.1038/s41597-020-0489-4,2024-08-24,5321,5,8
10.1038/s41597-020-0490-y,2024-08-24,2502,6,17
10.1038/s41597-020-0488-5,2024-08-24,6864,62,11
10.1038/s41597-020-0494-7,2024-08-24,10000,34,17
10.1038/s41597-020-0474-y,2024-08-24,10000,107,1
10.1038/s41597-020-0491-x,2024-08-24,5023,51,1
10.1038/s41597-020-0495-6,2024-08-24,70000,403,21
10.1038/s41597-020-0483-x,2024-08-24,9165,40,35
10.1038/s41597-020-0504-9,2024-08-24,2040,2,1
10.1038/s41597-020-0501-z,2024-08-24,4336,20,33
10.1038/s41597-020-0499-2,2024-08-24,3047,15,2
10.1038/s41597-020-0496-5,2024-08-24,2406,4,4
10.1038/s41597-020-0493-8,2024-08-24,6144,21,12
10.1038/s41597-020-0478-7,2024-08-24,23000,71,29
10.1038/s41597-020-0479-6,2024-08-24,17000,82,60
10.1038/s41597-020-0506-7,2024-08-24,5327,19,1
10.1038/s41597-020-0505-8,2024-08-24,1412,1,1
10.1038/s41597-020-0502-y,2024-08-24,2298,6,70
10.1038/s41597-020-0503-x,2024-08-24,2865,7,2
10.1038/s41597-020-0511-x,2024-08-24,2698,1,2
10.1038/s41597-020-0510-y,2024-08-24,48000,271,38
10.1038/s41597-020-0500-0,2024-08-24,3270,4,1
10.1038/s41597-020-0497-4,2024-08-24,11000,56,54
10.1038/s41597-020-0513-8,2024-08-24,2478,16,2
10.1038/s41597-020-0498-3,2024-08-24,12000,11,11
10.1038/s41597-020-0512-9,2024-08-24,3543,19,3
10.1038/s41597-020-0517-4,2024-08-24,13000,37,45
10.1038/s41597-020-0518-3,2024-08-24,4938,27,4
10.1038/s41597-020-0507-6,2024-08-24,10000,14,14
10.1038/s41597-020-0514-7,2024-08-24,6146,4,8
10.1038/s41597-020-0532-5,2024-08-24,8891,17,18
10.1038/s41597-020-0521-8,2024-08-24,1286,8,1
10.1038/s41597-020-0509-4,2024-08-24,2330,6,3
10.1038/s41597-020-0537-0,2024-08-24,3763,10,1
10.1038/s41597-020-0528-1,2024-08-24,15000,36,1
10.1038/s41597-020-0535-2,2024-08-24,8281,25,1
10.1038/s41597-020-0533-4,2024-08-24,5394,21,3
10.1038/s41597-020-0526-3,2024-08-24,4169,43,3
10.1038/s41597-020-0508-5,2024-08-24,2299,14,7
10.1038/s41597-020-0527-2,2024-08-24,4030,7,3
10.1038/s41597-020-0529-0,2024-08-24,9394,14,14
10.1038/s41597-020-0522-7,2024-08-24,5621,14,19
10.1038/s41597-020-0539-y,2024-08-24,7749,37,1
10.1038/s41597-020-0541-4,2024-08-24,8199,12,8
10.1038/s41597-020-0540-5,2024-08-24,4441,15,3
10.1038/s41597-020-0545-0,2024-08-24,2485,10,2
10.1038/s41597-020-0536-1,2024-08-24,2258,2,1
10.1038/s41597-020-0538-z,2024-08-24,16000,48,1
10.1038/s41597-020-0544-1,2024-08-24,2474,9,9
10.1038/s41597-020-0543-2,2024-08-24,37000,94,37
10.1038/s41597-020-0516-5,2024-08-24,8935,13,7
10.1038/s41597-020-0542-3,2024-08-24,11000,47,5
10.1038/s41597-020-0551-2,2024-08-24,4741,18,22
10.1038/s41597-020-0546-z,2024-08-24,3981,12,6
10.1038/s41597-020-0530-7,2024-08-24,83000,203,2706
10.1038/s41597-020-0549-9,2024-08-24,5957,17,21
10.1038/s41597-020-0547-y,2024-08-24,1630,5,4
10.1038/s41597-020-0550-3,2024-08-24,1867,8,6
10.1038/s41597-020-0555-y,2024-08-24,3436,4,3
10.1038/s41597-020-0565-9,2024-08-24,2041,7,1
10.1038/s41597-020-0554-z,2024-08-24,11000,84,29
10.1038/s41597-020-0519-2,2024-08-24,3397,9,3
10.1038/s41597-020-0553-0,2024-08-24,5991,7,23
10.1038/s41597-020-0561-0,2024-08-24,5213,16,17
10.1038/s41597-020-0556-x,2024-08-24,3363,9,4
10.1038/s41597-020-0560-1,2024-08-24,2277,6,4
10.1038/s41597-020-00575-2,2024-08-24,17000,187,55
10.1038/s41597-020-0564-x,2024-08-24,2229,8,1
10.1038/s41597-020-0563-y,2024-08-24,20000,69,10
10.1038/s41597-020-0534-3,2024-08-24,46000,735,80
10.1038/s41597-020-0559-7,2024-08-24,2368,2,26
10.1038/s41597-020-0558-8,2024-08-24,2349,6,4
10.1038/s41597-020-0520-9,2024-08-24,19000,159,202
10.1038/s41597-020-0568-6,2024-08-24,25000,83,25
10.1038/s41597-020-0548-x,2024-08-24,15000,62,4
10.1038/s41597-020-0566-8,2024-08-24,5533,23,3
10.1038/s41597-020-0574-8,2024-08-24,9064,19,18
10.1038/s41597-020-0567-7,2024-08-24,27000,119,126
10.1038/s41597-020-0569-5,2024-08-24,11000,10,32
10.1038/s41597-020-0562-z,2024-08-24,22000,54,25
10.1038/s41597-020-0571-y,2024-08-24,4034,11,2
10.1038/s41597-020-0570-z,2024-08-24,10000,6,3
10.1038/s41597-020-0572-x,2024-08-24,1468,1,3
10.1038/s41597-020-0552-1,2024-08-24,15000,51,95
10.1038/s41597-020-0557-9,2024-08-24,5611,39,7
10.1038/s41597-020-00579-y,2024-08-24,1695,4,1
10.1038/s41597-020-00576-1,2024-08-24,2349,7,42
10.1038/s41597-020-00583-2,2024-08-24,7554,37,29
10.1038/s41597-020-00582-3,2024-08-24,13000,48,4
10.1038/s41597-020-00577-0,2024-08-24,5110,10,5
10.1038/s41597-020-00580-5,2024-08-24,15000,161,8
10.1038/s41597-020-00588-x,2024-08-24,13000,61,51
10.1038/s41597-020-00587-y,2024-08-24,17000,86,32
10.1038/s41597-020-00581-4,2024-08-24,5699,23,15
10.1038/s41597-020-00591-2,2024-08-24,6831,12,6
10.1038/s41597-020-0573-9,2024-08-24,10000,20,215
10.1038/s41597-020-00593-0,2024-08-24,4327,31,10
10.1038/s41597-020-00592-1,2024-08-24,2932,4,1
10.1038/s41597-020-00597-w,2024-08-24,6929,21,6
10.1038/s41597-020-00599-8,2024-08-24,33000,96,87
10.1038/s41597-020-00596-x,2024-08-24,12000,56,53
10.1038/s41597-020-00595-y,2024-08-24,5595,14,9
10.1038/s41597-020-00602-2,2024-08-24,23000,85,48
10.1038/s41597-020-00603-1,2024-08-24,2280,6,1
10.1038/s41597-020-00601-3,2024-08-24,3471,12,0
10.1038/s41597-020-00605-z,2024-08-24,8160,65,26
10.1038/s41597-020-00594-z,2024-08-24,5487,19,12
10.1038/s41597-020-00608-w,2024-08-24,12000,40,12
10.1038/s41597-020-00604-0,2024-08-24,3063,10,12
10.1038/s41597-020-00598-9,2024-08-24,2206,8,19
10.1038/s41597-020-00600-4,2024-08-24,15000,41,90
10.1038/s41597-020-00614-y,2024-08-24,2447,14,8
10.1038/s41597-020-00612-0,2024-08-24,11000,45,3
10.1038/s41597-020-00578-z,2024-08-24,5149,16,9
10.1038/s41597-020-00613-z,2024-08-24,6708,15,5
10.1038/s41597-020-00619-7,2024-08-24,3556,12,1
10.1038/s41597-020-00618-8,2024-08-24,5541,7,19
10.1038/s41597-020-00617-9,2024-08-24,8697,15,82
10.1038/s41597-020-00610-2,2024-08-24,18000,61,56
10.1038/s41597-020-00609-9,2024-08-24,34000,119,225
10.1038/s41597-020-00620-0,2024-08-24,8167,20,2
10.1038/s41597-020-00622-y,2024-08-24,31000,231,47
10.1038/s41597-020-00626-8,2024-08-24,1836,2,3
10.1038/s41597-020-00623-x,2024-08-24,6230,34,2
10.1038/s41597-020-00634-8,2024-08-24,17000,47,10
10.1038/s41597-020-00635-7,2024-08-24,5701,9,1
10.1038/s41597-020-00639-3,2024-08-24,4012,10,5
10.1038/s41597-020-00637-5,2024-08-24,12000,213,20
10.1038/s41597-020-00625-9,2024-08-24,4569,2,6
10.1038/s41597-020-00638-4,2024-08-24,10000,159,20
10.1038/s41597-020-00630-y,2024-08-24,19000,87,14
10.1038/s41597-020-00621-z,2024-08-24,4329,5,4
10.1038/s41597-020-00640-w,2024-08-24,1826,30,1
10.1038/s41597-020-00633-9,2024-08-24,4778,11,4
10.1038/s41597-020-00624-w,2024-08-24,65000,123,160
10.1038/s41597-020-00629-5,2024-08-24,14000,52,6
10.1038/s41597-020-00636-6,2024-08-24,1524,1,2
10.1038/s41597-020-00627-7,2024-08-24,6739,16,6
10.1038/s41597-020-00586-z,2024-08-24,21000,168,308
10.1038/s41597-020-00631-x,2024-08-24,6106,11,9
10.1038/s41597-020-00643-7,2024-08-24,6764,47,75
10.1038/s41597-020-00644-6,2024-08-24,8508,65,14
10.1038/s41597-020-00646-4,2024-08-24,16000,62,33
10.1038/s41597-020-00645-5,2024-08-24,1505,1,1
10.1038/s41597-020-00652-6,2024-08-24,9334,24,9
10.1038/s41597-020-00648-2,2024-08-24,18000,40,162
10.1038/s41597-020-00628-6,2024-08-24,6449,21,75
10.1038/s41597-020-00654-4,2024-08-24,4034,25,1
10.1038/s41597-020-00656-2,2024-08-24,3919,13,5
10.1038/s41597-020-00653-5,2024-08-24,12000,84,6
10.1038/s41597-020-00651-7,2024-08-24,2436,7,5
10.1038/s41597-020-00650-8,2024-08-24,13000,57,12
10.1038/s41597-020-00657-1,2024-08-24,3129,18,2
10.1038/s41597-020-00660-6,2024-08-24,2696,5,62
10.1038/s41597-020-00662-4,2024-08-24,4389,18,1
10.1038/s41597-020-00661-5,2024-08-24,4862,4,2
10.1038/s41597-020-00669-x,2024-08-24,27000,98,14
10.1038/s41597-020-00667-z,2024-08-24,6238,30,3
10.1038/s41597-020-00671-3,2024-08-24,2518,13,5
10.1038/s41597-020-00659-z,2024-08-24,11000,38,10
10.1038/s41597-020-00666-0,2024-08-24,6454,38,31
10.1038/s41597-020-00665-1,2024-08-24,14000,51,2
10.1038/s41597-020-00672-2,2024-08-24,5521,10,10
10.1038/s41597-020-00658-0,2024-08-24,4700,15,27
10.1038/s41597-020-00676-y,2024-08-24,3062,6,17
10.1038/s41597-020-00673-1,2024-08-24,3187,7,28
10.1038/s41597-020-00649-1,2024-08-24,2817,15,5
10.1038/s41597-020-00688-8,2024-08-24,54000,300,102
10.1038/s41597-020-00678-w,2024-08-24,6073,22,1
10.1038/s41597-020-00685-x,2024-08-24,1752,6,2
10.1038/s41597-020-00679-9,2024-08-24,5006,10,6
10.1038/s41597-020-00663-3,2024-08-24,7203,12,35
10.1038/s41597-020-00683-z,2024-08-24,1251,1,8
10.1038/s41597-020-00681-1,2024-08-24,25000,191,18
10.1038/s41597-020-00642-8,2024-08-24,12000,52,4
10.1038/s41597-020-00690-0,2024-08-24,2093,1,23
10.1038/s41597-020-00680-2,2024-08-24,14000,40,38
10.1038/s41597-020-00677-x,2024-08-24,3824,9,0
10.1038/s41597-020-00686-w,2024-08-24,1579,4,1
10.1038/s41597-020-00695-9,2024-08-24,2857,14,4
10.1038/s41597-020-00664-2,2024-08-24,3266,2,1
10.1038/s41597-020-00687-9,2024-08-24,5395,14,2
10.1038/s41597-020-00696-8,2024-08-24,5509,9,9
10.1038/s41597-020-00691-z,2024-08-24,2552,2,2
10.1038/s41597-020-00668-y,2024-08-24,19000,64,143
10.1038/s41597-020-00697-7,2024-08-24,7517,40,48
10.1038/s41597-020-00655-3,2024-08-24,7453,41,3
10.1038/s41597-020-00675-z,2024-08-24,9860,64,32
10.1038/s41597-020-00670-4,2024-08-24,5811,19,24
10.1038/s41597-020-00694-w,2024-08-24,10000,61,59
10.1038/s41597-020-00698-6,2024-08-24,6895,8,5
10.1038/s41597-020-00692-y,2024-08-24,2167,11,2
10.1038/s41597-020-00684-y,2024-08-24,3200,5,33
10.1038/s41597-020-00700-1,2024-08-24,4919,6,19
10.1038/s41597-020-00707-8,2024-08-24,5659,13,3
10.1038/s41597-020-00699-5,2024-08-24,6425,24,38
10.1038/s41597-020-00709-6,2024-08-24,2409,5,3
10.1038/s41597-020-00701-0,2024-08-24,1406,0,5
10.1038/s41597-020-00703-y,2024-08-24,1309,0,2
10.1038/s41597-020-00704-x,2024-08-24,6300,9,17
10.1038/s41597-020-00713-w,2024-08-24,4034,2,3
10.1038/s41597-020-00710-z,2024-08-24,2944,13,27
10.1038/s41597-020-00706-9,2024-08-24,9780,13,8
10.1038/s41597-020-00712-x,2024-08-24,13000,100,8
10.1038/s41597-020-00693-x,2024-08-24,7412,28,2
10.1038/s41597-020-00711-y,2024-08-24,4890,8,11
10.1038/s41597-020-00714-9,2024-08-24,27000,27,18
10.1038/s41597-020-00705-w,2024-08-24,3062,13,26
10.1038/s41597-020-00682-0,2024-08-24,4154,11,11
10.1038/s41597-020-00721-w,2024-08-24,2576,11,31
10.1038/s41597-020-00708-7,2024-08-24,27000,176,42
10.1038/s41597-020-00719-4,2024-08-24,11000,13,13
10.1038/s41597-020-00720-x,2024-08-24,10000,18,15
10.1038/s41597-020-00722-9,2024-08-24,1750,2,2
10.1038/s41597-020-00718-5,2024-08-24,4270,16,3
10.1038/s41597-020-00725-6,2024-08-24,3147,8,47
10.1038/s41597-020-00689-7,2024-08-24,2938,6,11
10.1038/s41597-020-00715-8,2024-08-24,20000,65,3
10.1038/s41597-020-00723-8,2024-08-24,13000,47,19
10.1038/s41597-020-00727-4,2024-08-24,8369,34,7
10.1038/s41597-020-00732-7,2024-08-24,8429,85,35
10.1038/s41597-020-00735-4,2024-08-24,8176,23,107
10.1038/s41597-020-00724-7,2024-08-24,6593,24,5
10.1038/s41597-020-00736-3,2024-08-24,45000,480,4
10.1038/s41597-020-00729-2,2024-08-24,2191,4,30
10.1038/s41597-020-00734-5,2024-08-24,16000,140,20
10.1038/s41597-020-00739-0,2024-08-24,17000,32,110
10.1038/s41597-020-00716-7,2024-08-24,11000,20,6
10.1038/s41597-020-00728-3,2024-08-24,3416,5,2
10.1038/s41597-020-00726-5,2024-08-24,23000,43,52
10.1038/s41597-020-00731-8,2024-08-24,3651,13,22
10.1038/s41597-020-00717-6,2024-08-24,12000,17,4
10.1038/s41597-020-00733-6,2024-08-24,2639,5,11
10.1038/s41597-020-00743-4,2024-08-24,35000,149,21
10.1038/s41597-020-00746-1,2024-08-24,2558,15,9
10.1038/s41597-020-00742-5,2024-08-24,3359,5,15
10.1038/s41597-020-00738-1,2024-08-24,3114,6,1
10.1038/s41597-020-00740-7,2024-08-24,1422,15,2
10.1038/s41597-020-00745-2,2024-08-24,2495,6,3
10.1038/s41597-020-00749-y,2024-08-24,8972,16,30
10.1038/s41597-020-00750-5,2024-08-24,2525,40,9
10.1038/s41597-020-00748-z,2024-08-24,2753,7,20
10.1038/s41597-020-00755-0,2024-08-24,5915,24,3
10.1038/s41597-020-00754-1,2024-08-24,3669,16,11
10.1038/s41597-020-00744-3,2024-08-24,3809,11,5
10.1038/s41597-020-00737-2,2024-08-24,2587,8,2
10.1038/s41597-020-00751-4,2024-08-24,1776,6,6
10.1038/s41597-020-00741-6,2024-08-24,4753,29,27
10.1038/s41597-020-00757-y,2024-08-24,11000,43,51
10.1038/s41597-020-00702-z,2024-08-24,18000,64,204
10.1038/s41597-020-00753-2,2024-08-24,5221,11,9
10.1038/s41597-020-00756-z,2024-08-24,10000,30,23
10.1038/s41597-020-00752-3,2024-08-24,3664,12,1
10.1038/s41597-020-00761-2,2024-08-24,2073,1,12
10.1038/s41597-020-00760-3,2024-08-24,2424,8,5
10.1038/s41597-020-00762-1,2024-08-24,6149,9,2
10.1038/s41597-020-00764-z,2024-08-24,4246,21,3
10.1038/s41597-020-00765-y,2024-08-24,4016,8,24
10.1038/s41597-020-00763-0,2024-08-24,10000,59,18
10.1038/s41597-020-00758-x,2024-08-24,5596,9,27
10.1038/s41597-020-00768-9,2024-08-24,11000,66,1
10.1038/s41597-020-00773-y,2024-08-24,7136,37,15
10.1038/s41597-020-00778-7,2024-08-24,5667,24,19
10.1038/s41597-020-00775-w,2024-08-24,2098,5,1
10.1038/s41597-020-00774-x,2024-08-24,3177,8,11
10.1038/s41597-020-00776-9,2024-08-24,3992,15,9
10.1038/s41597-020-00772-z,2024-08-24,12000,31,10
10.1038/s41597-020-00783-w,2024-08-24,5379,3,1
10.1038/s41597-020-00771-0,2024-08-24,3372,11,13
10.1038/s41597-020-00767-w,2024-08-24,1711,3,1
10.1038/s41597-020-00769-8,2024-08-24,4411,18,1
10.1038/s41597-020-00777-8,2024-08-24,4608,4,20
10.1038/s41597-020-00780-z,2024-08-24,4140,20,7
10.1038/s41597-020-00770-1,2024-08-24,3792,10,5
10.1038/s41597-020-00784-9,2024-08-24,37000,69,113
10.1038/s41597-020-00786-7,2024-08-24,5115,56,14
10.1038/s41597-020-00781-y,2024-08-24,1849,3,2
10.1038/s41597-020-00779-6,2024-08-24,22000,59,73
10.1038/s41597-020-00795-6,2024-08-24,4273,24,17
10.1038/s41597-020-00789-4,2024-08-24,6442,12,4
10.1038/s41597-020-00792-9,2024-08-24,5225,19,3
10.1038/s41597-020-00791-w,2024-08-24,1399,2,2
10.1038/s41597-021-00799-w,2024-08-24,4214,12,3
10.1038/s41597-020-00790-x,2024-08-24,4989,4,2
10.1038/s41597-020-00794-7,2024-08-24,6933,13,3
10.1038/s41597-020-00782-x,2024-08-24,7211,18,3
10.1038/s41597-021-00798-x,2024-08-24,9424,31,0
10.1038/s41597-021-00801-5,2024-08-24,6734,21,2
10.1038/s41597-021-00796-z,2024-08-24,3315,16,3
10.1038/s41597-021-00800-6,2024-08-24,4329,7,44
10.1038/s41597-021-00803-3,2024-08-24,2512,5,3
10.1038/s41597-020-00788-5,2024-08-24,6041,16,59
10.1038/s41597-020-00785-8,2024-08-24,5778,14,6
10.1038/s41597-021-00805-1,2024-08-24,2299,8,4
10.1038/s41597-021-00802-4,2024-08-24,7095,28,14
10.1038/s41597-021-00797-y,2024-08-24,6636,7,15
10.1038/s41597-021-00810-4,2024-08-24,10000,132,26
10.1038/s41597-021-00807-z,2024-08-24,6548,35,6
10.1038/s41597-021-00816-y,2024-08-24,4875,22,39
10.1038/s41597-021-00811-3,2024-08-24,8108,10,6
10.1038/s41597-021-00819-9,2024-08-24,10000,42,6
10.1038/s41597-021-00820-2,2024-08-24,3306,18,4
10.1038/s41597-021-00813-1,2024-08-24,3031,10,2
10.1038/s41597-021-00821-1,2024-08-24,6025,12,15
10.1038/s41597-021-00817-x,2024-08-24,16000,35,14
10.1038/s41597-021-00815-z,2024-08-24,27000,186,11
10.1038/s41597-021-00806-0,2024-08-24,6188,26,1
10.1038/s41597-020-00793-8,2024-08-24,12000,39,183
10.1038/s41597-021-00828-8,2024-08-24,4283,26,63
10.1038/s41597-021-00825-x,2024-08-24,4459,7,3
10.1038/s41597-021-00809-x,2024-08-24,13000,12,76
10.1038/s41597-021-00827-9,2024-08-24,18000,167,2
10.1038/s41597-021-00812-2,2024-08-24,11000,60,22
10.1038/s41597-021-00826-w,2024-08-24,5897,18,1
10.1038/s41597-021-00814-0,2024-08-24,3477,15,12
10.1038/s41597-021-00822-0,2024-08-24,1704,2,2
10.1038/s41597-021-00844-8,2024-08-24,4160,12,2
10.1038/s41597-021-00835-9,2024-08-24,5463,37,1
10.1038/s41597-021-00829-7,2024-08-24,8255,26,142
10.1038/s41597-021-00830-0,2024-08-24,10000,30,2
10.1038/s41597-021-00831-z,2024-08-24,4453,7,1
10.1038/s41597-021-00808-y,2024-08-24,4637,21,15
10.1038/s41597-021-00834-w,2024-08-24,7525,38,9
10.1038/s41597-021-00837-7,2024-08-24,2474,4,2
10.1038/s41597-021-00836-8,2024-08-24,5693,11,5
10.1038/s41597-021-00841-x,2024-08-24,2630,7,6
10.1038/s41597-021-00833-x,2024-08-24,12000,42,30
10.1038/s41597-021-00839-5,2024-08-24,1563,5,6
10.1038/s41597-021-00824-y,2024-08-24,11000,22,3
10.1038/s41597-021-00840-y,2024-08-24,11000,48,1
10.1038/s41597-021-00842-w,2024-08-24,4180,19,7
10.1038/s41597-021-00823-z,2024-08-24,4262,6,5
10.1038/s41597-021-00847-5,2024-08-24,3057,9,3
10.1038/s41597-021-00846-6,2024-08-24,18000,35,21
10.1038/s41597-021-00843-9,2024-08-24,16000,20,2
10.1038/s41597-021-00850-w,2024-08-24,5926,34,3
10.1038/s41597-021-00845-7,2024-08-24,18000,9,145
10.1038/s41597-021-00832-y,2024-08-24,3126,7,1
10.1038/s41597-021-00848-4,2024-08-24,16000,58,223
10.1038/s41597-021-00838-6,2024-08-24,3645,26,15
10.1038/s41597-021-00860-8,2024-08-24,5903,12,37
10.1038/s41597-021-00859-1,2024-08-24,6230,23,30
10.1038/s41597-021-00861-7,2024-08-24,11000,43,3
10.1038/s41597-021-00856-4,2024-08-24,2632,2,25
10.1038/s41597-021-00849-3,2024-08-24,16000,16,51
10.1038/s41597-021-00857-3,2024-08-24,1592,3,3
10.1038/s41597-021-00864-4,2024-08-24,6570,6,11
10.1038/s41597-021-00866-2,2024-08-24,2797,4,2
10.1038/s41597-021-00871-5,2024-08-24,3958,9,26
10.1038/s41597-021-00869-z,2024-08-24,1524,10,2
10.1038/s41597-021-00870-6,2024-08-24,16000,52,23
10.1038/s41597-021-00868-0,2024-08-24,4612,32,18
10.1038/s41597-021-00873-3,2024-08-24,5307,8,15
10.1038/s41597-021-00875-1,2024-08-24,7851,30,5
10.1038/s41597-021-00872-4,2024-08-24,4242,19,13
10.1038/s41597-021-00878-y,2024-08-24,7341,21,55
10.1038/s41597-021-00818-w,2024-08-24,2484,5,1
10.1038/s41597-021-00863-5,2024-08-24,12000,51,11
10.1038/s41597-021-00804-2,2024-08-24,11000,50,73
10.1038/s41597-021-00862-6,2024-08-24,11000,61,4
10.1038/s41597-021-00867-1,2024-08-24,18000,49,90
10.1038/s41597-021-00877-z,2024-08-24,2478,7,9
10.1038/s41597-021-00883-1,2024-08-24,9503,20,5
10.1038/s41597-021-00880-4,2024-08-24,6393,11,49
10.1038/s41597-021-00876-0,2024-08-24,12000,31,1
10.1038/s41597-021-00881-3,2024-08-24,15000,38,2
10.1038/s41597-021-00853-7,2024-08-24,7828,13,20
10.1038/s41597-021-00882-2,2024-08-24,6525,45,20
10.1038/s41597-021-00884-0,2024-08-24,2431,7,3
10.1038/s41597-021-00885-z,2024-08-24,9622,21,2
10.1038/s41597-021-00887-x,2024-08-24,1741,3,30
10.1038/s41597-021-00893-z,2024-08-24,11000,48,4
10.1038/s41597-021-00886-y,2024-08-24,6707,18,132
10.1038/s41597-021-00888-w,2024-08-24,7993,50,30
10.1038/s41597-021-00889-9,2024-08-24,4442,19,27
10.1038/s41597-021-00891-1,2024-08-24,8396,22,13
10.1038/s41597-021-00895-x,2024-08-24,4769,11,14
10.1038/s41597-021-00894-y,2024-08-24,9175,9,17
10.1038/s41597-021-00898-8,2024-08-24,2544,3,7
10.1038/s41597-021-00890-2,2024-08-24,13000,32,15
10.1038/s41597-021-00897-9,2024-08-24,7168,13,5
10.1038/s41597-021-00896-w,2024-08-24,2208,5,6
10.1038/s41597-021-00900-3,2024-08-24,16000,114,11
10.1038/s41597-021-00904-z,2024-08-24,8393,27,18
10.1038/s41597-021-00899-7,2024-08-24,5766,15,10
10.1038/s41597-021-00901-2,2024-08-24,4727,13,5
10.1038/s41597-021-00905-y,2024-08-24,10000,12,32
10.1038/s41597-021-00906-x,2024-08-24,7164,25,10
10.1038/s41597-021-00909-8,2024-08-24,18000,40,41
10.1038/s41597-021-00908-9,2024-08-24,2713,5,2
10.1038/s41597-021-00910-1,2024-08-24,5884,34,12
10.1038/s41597-021-00913-y,2024-08-24,3216,3,3
10.1038/s41597-021-00915-w,2024-08-24,9040,13,51
10.1038/s41597-021-00914-x,2024-08-24,4029,11,11
10.1038/s41597-021-00912-z,2024-08-24,23000,31,36
10.1038/s41597-021-00919-6,2024-08-24,5212,9,62
10.1038/s41597-021-00923-w,2024-08-24,8501,19,30
10.1038/s41597-021-00922-x,2024-08-24,2131,11,1
10.1038/s41597-021-00916-9,2024-08-24,15000,28,41
10.1038/s41597-021-00926-7,2024-08-24,5674,8,1
10.1038/s41597-021-00925-8,2024-08-24,9531,56,2
10.1038/s41597-021-00920-z,2024-08-24,14000,101,6
10.1038/s41597-021-00927-6,2024-08-24,3280,9,2
10.1038/s41597-021-00921-y,2024-08-24,14000,30,5
10.1038/s41597-021-00924-9,2024-08-24,1873,2,15
10.1038/s41597-021-00907-w,2024-08-24,13000,23,9
10.1038/s41597-021-00929-4,2024-08-24,11000,17,7
10.1038/s41597-021-00931-w,2024-08-24,1360,8,0
10.1038/s41597-021-00933-8,2024-08-24,6863,31,16
10.1038/s41597-021-00936-5,2024-08-24,9313,23,3
10.1038/s41597-021-00932-9,2024-08-24,18000,50,24
10.1038/s41597-021-00938-3,2024-08-24,4009,8,9
10.1038/s41597-021-00930-x,2024-08-24,5889,24,14
10.1038/s41597-021-00937-4,2024-08-24,23000,155,17
10.1038/s41597-021-00940-9,2024-08-24,8473,80,10
10.1038/s41597-021-00943-6,2024-08-24,3630,4,1
10.1038/s41597-021-00944-5,2024-08-24,6663,9,11
10.1038/s41597-021-00942-7,2024-08-24,4467,16,115
10.1038/s41597-021-00945-4,2024-08-24,7158,14,4
10.1038/s41597-021-00935-6,2024-08-24,4159,8,5
10.1038/s41597-021-00947-2,2024-08-24,4846,13,7
10.1038/s41597-021-00939-2,2024-08-24,8719,64,8
10.1038/s41597-021-00954-3,2024-08-24,13000,15,5
10.1038/s41597-021-00948-1,2024-08-24,1980,6,4
10.1038/s41597-021-00946-3,2024-08-24,8471,56,28
